Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Sergey Karasev, BKN, 1.20%, 1.67%, 1.91%, 0.96%, 0.60%, , , , , , -2.02, , 
Lamar Patterson, ATL, 0.97%, 1.46%, 1.86%, 1.14%, 0.37%, , , , , , -3.51, , 
Pablo Prigioni, LAC, 1.58%, 3.14%, 6.92%, 6.97%, 0.20%, 46.90%, 48.20%, 11.00%, 103.3, 103.9, 0.16, 10.2, 
Terry Rozier, BOS, 1.05%, 2.04%, 2.07%, 0.90%, 1.05%, , , , , , -5.09, , 
Pat Connaughton, POR, 0.48%, 0.83%, 0.54%, 0.34%, 0.00%, , , , , , -6.39, , 
James Young, BOS, 0.34%, 0.66%, 0.43%, 0.77%, 0.26%, , , , , , -3.67, , 
Aaron Harrison, CHA, 0.20%, 0.42%, 0.11%, 0.96%, 0.00%, , , , , , -2.65, , 
DeMarcus Cousins, SAC, 19.83%, 20.50%, 10.62%, 13.77%, 24.31%, 47.70%, 53.80%, 35.40%, 103.1, 102.4, 2.22, 23.3, 
Brook Lopez, BKN, 18.56%, 16.50%, 8.04%, 9.25%, 37.46%, 51.20%, 56.20%, 27.50%, 109.3, 108.3, 1.46, 21.8, 
Chris Bosh, MIA, 11.49%, 10.03%, 7.10%, 6.21%, 5.94%, 52.00%, 57.10%, 25.20%, 113.2, 103.6, 2.06, 20.3, 
Nikola Vucevic, ORL, 14.11%, 16.10%, 9.26%, 8.01%, 16.79%, 51.10%, 53.10%, 26.80%, 106.7, 105, 1.36, 21, 
Jahlil Okafor, PHI, 11.62%, 11.03%, 3.68%, 3.24%, 12.32%, 50.90%, 53.60%, 27.30%, 100.1, 110.1, -1.19, 17.2, 
Marc Gasol, MEM, 10.19%, 10.12%, 11.12%, 6.61%, 19.13%, 46.50%, 52.80%, 23.80%, 104.2, 104.3, 0.51, 17.6, 
Andre Drummond, DET, 15.76%, 31.18%, 3.84%, 20.27%, 37.46%, 52.20%, 49.90%, 24.10%, 102.8, 98.2, 1.50, 21.2, 
Al Horford, ATL, 14.63%, 17.37%, 12.62%, 9.39%, 25.61%, 54.70%, 56.50%, 20.60%, 113, 101, 2.63, 19.4, 
Kristaps Porzingis, NYK, 12.75%, 14.43%, 5.53%, 11.13%, 28.76%, 46.70%, 51.80%, 24.50%, 102.9, 104, 0.26, 17.7, 
Hassan Whiteside, MIA, 12.85%, 24.29%, 1.76%, 8.10%, 51.22%, 60.60%, 62.90%, 20.80%, 116.9, 94.9, 4.21, 25.7, 
Dwight Howard, HOU, 11.34%, 24.02%, 5.54%, 8.46%, 26.67%, 62.00%, 60.40%, 18.30%, 111, 104, 1.82, 18.8, 
Marcin Gortat, WAS, 11.86%, 21.57%, 5.29%, 6.63%, 29.50%, 56.70%, 59.20%, 19.00%, 113.8, 103.7, 1.82, 18.9, 
Jonas Valanciunas, TOR, 9.68%, 16.54%, 2.79%, 4.33%, 19.03%, 56.50%, 61.00%, 20.70%, 120.7, 103.9, 2.47, 22.5, 
Enes Kanter, OKC, 11.58%, 16.64%, 1.75%, 4.24%, 6.52%, 58.30%, 62.60%, 23.40%, 122.7, 105.1, 2.91, 24.1, 
DeAndre Jordan, LAC, 11.46%, 31.05%, 5.10%, 7.76%, 39.34%, 70.30%, 62.80%, 15.50%, 121.7, 97.5, 3.58, 20.5, 
Sean Kilpatrick, BKN, 4.27%, 1.61%, 1.59%, 1.91%, 0.60%, 52.80%, 57.60%, 23.40%, 110.1, 118.8, 0.00, 15.1, 
Al Jefferson, CHA, 7.01%, 8.95%, 4.10%, 5.27%, 9.53%, 48.50%, 50.70%, 24.30%, 104.6, 100.6, 1.10, 18, 
Nerlens Noel, PHI, 9.35%, 15.99%, 6.91%, 17.35%, 20.20%, 52.20%, 54.40%, 18.90%, 99.1, 102.9, 1.45, 16.3, 
Myles Turner, IND, 7.72%, 9.78%, 2.37%, 3.42%, 25.59%, 50.10%, 53.10%, 21.10%, 102.5, 101.6, -0.30, 15.4, 
Robin Lopez, NYK, 10.44%, 16.55%, 6.78%, 3.43%, 27.68%, 53.90%, 57.40%, 17.70%, 112.8, 107.5, -0.30, 17.6, 
Gorgui Dieng, MIN, 9.85%, 17.14%, 7.46%, 14.33%, 25.60%, 53.70%, 60.10%, 16.70%, 112.6, 106, 2.10, 17.1, 
Jared Sullinger, BOS, 9.38%, 17.51%, 9.17%, 9.25%, 12.11%, 45.30%, 47.60%, 21.80%, 102.7, 99.9, 0.34, 16.8, 
Nikola Jokic, DEN, 9.50%, 15.31%, 10.17%, 12.97%, 12.66%, 53.50%, 58.20%, 19.90%, 118.2, 104.7, 3.83, 21.5, 
Kelly Olynyk, BOS, 7.47%, 7.11%, 5.14%, 6.43%, 8.42%, 53.10%, 56.10%, 21.00%, 110, 103, 1.34, 16.3, 
Nene Hilario, WAS, 6.15%, 7.55%, 4.84%, 7.62%, 8.07%, , , , , , 2.35, , 
Ian Mahinmi, IND, 8.01%, 14.05%, 6.03%, 8.87%, 19.01%, 58.90%, 60.30%, 15.80%, 113.9, 99.4, 1.67, 16.6, 
Rudy Gobert, UTA, 6.90%, 18.74%, 5.61%, 6.89%, 30.75%, 55.90%, 58.20%, 14.20%, 112.4, 97.7, 0.82, 17.5, 
Alex Len, PHO, 8.50%, 16.16%, 5.70%, 6.01%, 19.81%, 42.40%, 48.20%, 20.40%, 96, 106.7, -2.46, 12.4, 
Cody Zeller, CHA, 7.79%, 12.85%, 3.88%, 9.27%, 14.19%, 53.00%, 59.20%, 15.40%, 118.8, 102.7, 1.84, 16.1, 
Zaza Pachulia, DAL, 7.71%, 20.08%, 7.52%, 11.36%, 7.28%, 46.60%, 55.00%, 16.20%, 113.3, 103.6, 0.55, 16.2, 
Tim Duncan, SA, 6.13%, 12.46%, 8.10%, 6.80%, 16.67%, 48.80%, 52.30%, 17.50%, 107.1, 95.8, 1.04, 16.9, 
Meyers Leonard, POR, 5.61%, 7.87%, 4.96%, 1.35%, 4.55%, 54.70%, 56.10%, 17.50%, 106.7, 109.1, -1.37, 11.3, 
Jusuf Nurkic, DEN, 3.15%, 4.76%, 2.15%, 3.94%, 11.14%, 41.70%, 46.00%, 27.10%, 92.2, 101.8, -1.32, 15.8, 
Steven Adams, OKC, 7.13%, 13.54%, 3.16%, 6.91%, 18.38%, 61.30%, 62.10%, 12.60%, 123.3, 106, 0.99, 15.5, 
Tristan Thompson, CLE, 7.34%, 19.93%, 3.44%, 6.98%, 16.51%, 58.80%, 61.10%, 11.70%, 129.8, 103.8, 0.90, 15.9, 
Jason Smith, ORL, 6.52%, 6.14%, 3.21%, 4.90%, 15.59%, 48.90%, 51.30%, 22.10%, 100.3, 105.5, 0.01, 14.6, 
Tyson Chandler, PHO, 5.71%, 15.67%, 3.82%, 5.70%, 14.06%, 58.30%, 60.60%, 12.70%, 113.6, 107.2, 0.37, 14.7, 
John Henson, MIL, 4.89%, 6.47%, 2.85%, 2.68%, 22.90%, 56.40%, 58.00%, 19.20%, 108.4, 106.1, 1.45, 18.7, 
Kosta Koufos, SAC, 6.07%, 11.77%, 1.66%, 5.51%, 19.34%, 53.20%, 54.00%, 15.40%, 112.6, 107.3, 0.93, 15.1, 
Festus Ezeli, GSW, 3.40%, 6.92%, 1.35%, 2.45%, 9.92%, 54.80%, 55.90%, 18.10%, 114.6, 99.5, 1.49, 17.7, 
Henry Sims, BKN, 1.12%, 2.07%, 0.49%, 1.44%, 3.93%, , , , , , 0.08, , 
J.J. Hickson, WAS, 2.41%, 3.85%, 1.15%, 2.12%, 4.35%, , , , , , 0.80, , 
Timofey Mozgov, CLE, 5.30%, 8.86%, 1.74%, 3.84%, 17.74%, 56.70%, 59.30%, 16.10%, 111.5, 103.3, -0.25, 14.6, 
Tyler Zeller, BOS, 4.18%, 4.93%, 1.49%, 1.29%, 6.32%, 47.60%, 53.90%, 22.90%, 106.3, 104.3, -0.66, 15.3, 
Alexis Ajinca, NO, 4.18%, 7.70%, 1.76%, 3.00%, 10.53%, 47.60%, 51.40%, 20.40%, 99.7, 106, -0.86, 13.8, 
Roy Hibbert, LAL, 5.95%, 11.25%, 6.46%, 5.44%, 32.53%, 44.30%, 50.70%, 12.90%, 105.2, 110.5, -1.14, 11.2, 
Spencer Hawes, CHA, 3.99%, 6.78%, 5.90%, 3.67%, 6.21%, 46.70%, 50.80%, 17.10%, 102.8, 104.1, -0.78, 12.3, 
Tiago Splitter, ATL, 2.23%, 3.21%, 1.36%, 2.41%, 2.24%, 52.30%, 57.10%, 15.50%, 113, 103.2, 1.26, 13.7, 
Boban Marjanovic, SA, 3.53%, 5.38%, 1.12%, 1.66%, 4.68%, 60.30%, 66.20%, 22.90%, 130.3, 96.4, 5.83, 27.6, 
Bismack Biyombo, TOR, 5.50%, 18.90%, 1.86%, 3.13%, 29.39%, 54.20%, 58.60%, 11.50%, 118, 101.1, 0.57, 14.9, 
Cole Aldrich, LAC, 3.83%, 8.53%, 2.68%, 6.97%, 14.55%, 59.60%, 62.60%, 18.50%, 113.6, 93.7, 4.86, 21.3, 
Andrew Bogut, GSW, 4.10%, 13.31%, 6.83%, 5.18%, 23.66%, 62.90%, 62.30%, 11.40%, 120.4, 99.6, 2.65, 15.8, 
Miles Plumlee, MIL, 3.87%, 6.79%, 0.84%, 3.13%, 10.50%, 60.10%, 60.60%, 15.50%, 115.2, 107.6, 1.31, 17.4, 
JaVale McGee, DAL, 1.99%, 3.67%, 0.16%, 1.02%, 8.23%, , , , , , 0.80, , 
Nikola Pekovic, MIN, 0.64%, 0.62%, 0.57%, 0.15%, 0.00%, , , , , , -4.70, , 
Dewayne Dedmon, ORL, 3.05%, 6.42%, 0.67%, 3.26%, 11.03%, 55.90%, 60.60%, 15.20%, 116.5, 102.7, 2.47, 16.9, 
Jeff Withey, UTA, 2.74%, 4.94%, 1.30%, 3.37%, 12.59%, 53.70%, 57.70%, 15.20%, 115.2, 100.1, 1.95, 17.6, 
Joakim Noah, CHI, 1.49%, 6.72%, 5.84%, 3.64%, 6.17%, 38.30%, 40.60%, 14.10%, 96.4, 97.5, -0.99, 14.1, 
Omer Asik, NO, 3.19%, 11.82%, 1.43%, 3.32%, 6.73%, 53.30%, 55.10%, 11.50%, 106.4, 107.9, -1.35, 11, 
Kevin Seraphin, NYK, 2.32%, 3.46%, 2.79%, 1.71%, 7.73%, 41.00%, 43.50%, 22.30%, 85.9, 105.5, -3.77, 10.7, 
Salah Mejri, DAL, 1.63%, 3.67%, 0.57%, 1.86%, 12.34%, , , , , , 1.79, , 
Robert Sacre, LAL, 1.10%, 2.07%, 0.96%, 0.68%, 3.01%, , , , , , -2.22, , 
Chris Kaman, POR, 0.64%, 0.80%, 0.65%, 0.51%, 0.25%, , , , , , -4.76, , 
Matt Bonner, SA, 0.84%, 0.71%, 0.42%, 0.83%, 0.19%, , , , , , 2.31, , 
Anderson Varejao, GSW, 1.43%, 3.67%, 1.51%, 2.32%, 2.29%, 42.70%, 47.30%, 15.10%, 103.2, 102.1, -0.38, 11.1, 
Tibor Pleiss, UTA, 0.30%, 0.43%, 0.13%, 0.16%, 0.48%, , , , , , -6.59, , 
Kendrick Perkins, NO, 1.08%, 3.66%, 1.71%, 1.74%, 3.22%, 53.30%, 52.90%, 10.20%, 85.9, 110.8, -3.32, 5.9, 
Lucas Nogueira, TOR, 0.73%, 1.24%, 0.43%, 1.79%, 2.54%, , , , , , 2.88, , 
Cameron Bairstow, CHI, 0.41%, 0.74%, 0.32%, 0.40%, 0.64%, , , , , , -3.68, , 
Jeff Ayres, LAC, 0.36%, 0.59%, 0.25%, 0.00%, 0.61%, , , , , , -1.60, , 
Sasha Kaun, CLE, 0.26%, 0.68%, 0.15%, 0.70%, 1.53%, , , , , , -0.57, , 
Joel Anthony, DET, 0.21%, 0.54%, 0.06%, 0.34%, 3.81%, , , , , , 2.61, , 
Kevin Durant, OKC, 22.64%, 14.91%, 19.15%, 10.99%, 17.39%, 57.30%, 63.40%, 30.70%, 121.7, 104.2, 4.64, 28.2, 
LeBron James, CLE, 22.42%, 15.76%, 27.66%, 19.37%, 15.90%, 55.10%, 58.80%, 31.40%, 116.5, 102.3, 4.36, 27.5, 
Anthony Davis, NO, 17.58%, 17.95%, 6.38%, 12.32%, 36.55%, 50.80%, 55.90%, 29.60%, 110.1, 104.4, 3.86, 25, 
Paul George, IND, 23.08%, 15.92%, 19.34%, 21.04%, 7.98%, 49.00%, 55.80%, 30.40%, 106.6, 101.1, 2.70, 20.9, 
Carmelo Anthony, NYK, 19.50%, 15.31%, 17.78%, 13.28%, 8.15%, 47.40%, 53.00%, 29.70%, 106.7, 106.9, 0.83, 20.3, 
Kawhi Leonard, SA, 18.13%, 13.56%, 9.23%, 19.28%, 15.36%, 56.50%, 61.60%, 25.80%, 121.5, 95.6, 6.63, 25.9, 
Blake Griffin, LAC, 8.83%, 8.83%, 9.39%, 4.08%, 3.89%, 50.40%, 54.40%, 29.60%, 108.6, 102.2, 1.70, 21.9, 
Danilo Gallinari, DEN, 12.40%, 7.65%, 7.21%, 6.90%, 4.81%, 47.20%, 58.20%, 23.00%, 119.9, 109.8, 2.09, 18.9, 
Dirk Nowitzki, DAL, 16.64%, 13.85%, 7.31%, 9.15%, 17.41%, 50.40%, 55.50%, 25.60%, 110.2, 105.9, 1.76, 18.9, 
Karl-Anthony Towns, MIN, 17.90%, 25.06%, 8.40%, 8.84%, 36.80%, 55.60%, 59.00%, 24.80%, 112, 106.3, 2.57, 22.4, 
Khris Middleton, MIL, 17.66%, 8.78%, 17.47%, 19.52%, 3.99%, 50.70%, 56.00%, 23.10%, 109.1, 109.8, 1.54, 16.8, 
LaMarcus Aldridge, SA, 15.81%, 17.57%, 5.25%, 5.41%, 16.85%, 51.30%, 56.50%, 25.90%, 114.5, 98.8, 2.26, 22.2, 
Rudy Gay, SAC, 13.63%, 12.52%, 5.89%, 13.64%, 14.09%, 50.00%, 53.80%, 22.60%, 103.7, 107.9, 0.62, 15.4, 
Ryan Anderson, NO, 13.34%, 11.36%, 4.07%, 6.00%, 7.31%, 49.80%, 54.60%, 24.60%, 108.7, 111.5, 0.17, 17.2, 
Paul Millsap, ATL, 16.28%, 21.07%, 12.58%, 19.54%, 28.79%, 50.50%, 55.60%, 24.30%, 108.2, 96.4, 3.46, 21.2, 
Pau Gasol, CHI, 14.24%, 20.86%, 15.74%, 8.48%, 31.06%, 48.10%, 52.90%, 24.60%, 106.9, 100.3, 1.74, 21.6, 
Derrick Favors, UTA, 12.55%, 14.09%, 5.93%, 11.86%, 21.55%, 51.50%, 55.10%, 23.80%, 111.3, 101, 2.04, 21.5, 
Kevin Love, CLE, 14.59%, 21.24%, 9.95%, 10.47%, 12.54%, 49.90%, 55.30%, 23.40%, 111.7, 102.3, 1.29, 19, 
Greg Monroe, MIL, 14.90%, 20.36%, 9.45%, 10.73%, 14.08%, 52.20%, 56.20%, 23.50%, 113.3, 106.4, 2.40, 21.8, 
Zach Randolph, MEM, 12.93%, 15.77%, 8.45%, 5.81%, 3.55%, 47.90%, 51.90%, 24.80%, 107.6, 109, -0.54, 18.4, 
Tyreke Evans, NO, 4.50%, 3.69%, 9.02%, 5.06%, 2.34%, 48.60%, 53.40%, 25.10%, 105.5, 107.3, 1.26, 18.2, 
Thaddeus Young, BKN, 13.62%, 19.01%, 7.38%, 17.86%, 11.18%, 51.80%, 53.30%, 21.80%, 103.9, 106.2, 1.15, 17.5, 
Tobias Harris, DET, 13.57%, 14.07%, 10.93%, 11.58%, 13.65%, 51.40%, 56.00%, 19.60%, 111.9, 106.6, 0.89, 16.3, 
Rodney Hood, UTA, 14.27%, 7.62%, 13.69%, 11.54%, 3.87%, 50.30%, 54.20%, 21.60%, 108.6, 107.1, -0.29, 14.1, 
Nicolas Batum, CHA, 11.98%, 11.64%, 22.24%, 10.70%, 9.53%, 50.60%, 54.60%, 21.50%, 104.2, 105.3, -0.27, 15.6, 
Marcus Morris, DET, 13.81%, 10.50%, 12.55%, 11.58%, 6.67%, 49.10%, 53.10%, 18.40%, 107.1, 107.9, -0.95, 12.7, 
Jabari Parker, MIL, 13.17%, 11.59%, 6.81%, 10.28%, 6.09%, 49.80%, 53.50%, 20.80%, 106, 110.4, -0.41, 14.7, 
Draymond Green, GSW, 12.24%, 20.62%, 25.47%, 17.17%, 23.09%, 55.10%, 58.70%, 18.80%, 114.7, 100.2, 3.31, 19.2, 
Jae Crowder, BOS, 11.86%, 10.46%, 7.11%, 17.35%, 9.74%, 51.80%, 56.50%, 18.40%, 113.2, 102.2, 2.33, 15.8, 
Chandler Parsons, DAL, 9.45%, 7.68%, 8.87%, 7.80%, 6.65%, 57.10%, 58.90%, 20.50%, 109.9, 107.8, 1.25, 16.2, 
Luol Deng, MIA, 11.87%, 12.54%, 8.53%, 13.10%, 5.59%, 51.40%, 54.90%, 17.30%, 112.5, 105.3, 0.83, 14.9, 
Robert Covington, PHI, 10.74%, 12.39%, 5.50%, 15.44%, 8.08%, 50.40%, 54.30%, 21.50%, 97.5, 105.7, 0.63, 13.2, 
Michael Kidd-Gilchrist, CHA, 1.00%, 1.19%, 0.49%, 0.48%, 0.67%, , , , , , 1.04, , 
Serge Ibaka, OKC, 10.92%, 13.11%, 3.41%, 7.22%, 30.04%, 51.30%, 53.30%, 17.60%, 107.8, 106.2, -0.18, 13.9, 
Kenneth Faried, DEN, 9.99%, 15.88%, 4.25%, 5.25%, 15.19%, 55.80%, 57.70%, 20.90%, 116.3, 107.6, 1.80, 21, 
Trevor Ariza, HOU, 11.51%, 10.27%, 10.04%, 20.16%, 6.00%, 52.30%, 55.10%, 15.70%, 109.7, 108.8, 1.00, 12.9, 
Michael Beasley, HOU, 3.34%, 3.16%, 0.99%, 1.39%, 2.00%, , , , , , 1.52, , 
Mirza Teletovic, PHO, 11.67%, 8.22%, 5.29%, 5.06%, 6.71%, 54.40%, 57.10%, 23.40%, 111, 110.5, 0.88, 16.2, 
Markieff Morris, WAS, 8.96%, 10.26%, 6.18%, 8.18%, 10.56%, 45.80%, 48.90%, 24.20%, 93.1, 105.7, -2.02, 12.2, 
Omri Casspi, SAC, 9.28%, 11.30%, 4.78%, 7.44%, 4.42%, 57.10%, 58.70%, 17.70%, 109, 108.3, 0.90, 13.8, 
Nikola Mirotic, CHI, 9.32%, 9.54%, 5.41%, 11.72%, 9.79%, 51.80%, 56.40%, 21.10%, 107, 103.6, 1.10, 15.7, 
Kent Bazemore, ATL, 10.51%, 11.26%, 8.10%, 13.20%, 8.22%, 51.70%, 55.10%, 19.90%, 99.1, 100.3, 0.65, 13.3, 
Jeff Green, LAC, 10.92%, 9.42%, 7.17%, 8.42%, 8.61%, 47.00%, 51.00%, 20.60%, 102.2, 107.4, -0.79, 12.9, 
Otto Porter, WAS, 10.21%, 11.40%, 5.94%, 14.81%, 9.94%, 54.10%, 56.40%, 16.10%, 111.4, 105.3, 1.80, 14.3, 
Harrison Barnes, GSW, 8.29%, 8.94%, 4.97%, 6.27%, 2.10%, 53.10%, 55.90%, 15.90%, 114.2, 107.8, -0.26, 12.2, 
Julius Randle, LAL, 11.55%, 23.62%, 9.77%, 8.84%, 8.43%, 43.50%, 48.20%, 21.20%, 97.1, 108.3, -1.54, 13.9, 
Jordan Hamilton, NO, 1.48%, 1.77%, 1.38%, 1.26%, 0.88%, , , , , , -1.33, , 
Marvin Williams, CHA, 10.94%, 14.75%, 6.23%, 10.06%, 17.29%, 55.40%, 58.50%, 16.80%, 117.9, 103.8, 1.54, 16.8, 
T.J. Warren, PHO, 6.23%, 4.00%, 2.59%, 5.85%, 5.11%, 53.30%, 54.90%, 20.20%, 111.2, 110.4, 1.06, 15.8, 
Evan Turner, BOS, 10.19%, 10.94%, 18.40%, 11.05%, 8.95%, 46.90%, 51.30%, 18.70%, 101.7, 104.2, -0.48, 13.6, 
Shabazz Muhammad, MIN, 10.28%, 7.83%, 2.71%, 3.66%, 1.87%, 49.80%, 54.80%, 22.80%, 109.5, 114.4, -0.71, 15.2, 
Al-Farouq Aminu, POR, 10.12%, 13.84%, 8.08%, 12.86%, 15.15%, 50.30%, 53.30%, 16.90%, 104.9, 107, -0.54, 12.7, 
Ersan Ilyasova, ORL, 9.09%, 11.18%, 3.47%, 7.72%, 7.91%, 49.60%, 52.60%, 18.30%, 109.7, 106.8, -0.08, 14.1, 
DeMarre Carroll, TOR, 3.71%, 3.78%, 1.80%, 7.46%, 1.90%, 47.40%, 49.00%, 18.10%, 100.6, 102.6, -0.57, 11.8, 
Matt Barnes, MEM, 9.48%, 12.50%, 9.87%, 10.96%, 15.85%, 46.70%, 50.30%, 17.80%, 99.4, 106.9, -1.05, 11.6, 
Carl Landry, PHI, 4.39%, 4.32%, 1.81%, 1.76%, 1.82%, 56.80%, 60.50%, 23.90%, 119.9, 111.8, 3.81, 22, 
Jerami Grant, PHI, 9.38%, 10.67%, 7.59%, 7.94%, 25.66%, 44.80%, 50.60%, 18.00%, 100.2, 108.1, -0.60, 12.6, 
Doug McDermott, CHI, 9.17%, 5.14%, 3.16%, 2.83%, 1.28%, 53.70%, 56.10%, 17.30%, 109.6, 112.1, -1.38, 10.9, 
Derrick Williams, NYK, 9.25%, 8.14%, 4.46%, 6.42%, 1.93%, 48.80%, 55.00%, 23.30%, 110.3, 108.4, 0.63, 17.2, 
Aaron Gordon, ORL, 8.59%, 14.27%, 6.47%, 8.75%, 13.19%, 50.90%, 54.10%, 17.30%, 113.8, 105.5, 1.63, 16.9, 
Mason Plumlee, POR, 8.67%, 17.70%, 14.28%, 12.52%, 22.47%, 51.60%, 56.40%, 17.10%, 112.1, 104.6, 1.36, 17.2, 
Terrence Jones, HOU, 4.72%, 5.60%, 2.14%, 2.67%, 8.44%, 48.60%, 51.90%, 19.40%, 104.1, 110, -0.78, 13.6, 
Taj Gibson, CHI, 7.52%, 13.28%, 5.67%, 9.49%, 16.38%, 52.50%, 55.50%, 14.50%, 115.2, 105.5, 0.62, 15.6, 
Luis Scola, TOR, 7.54%, 9.73%, 4.28%, 6.87%, 5.71%, 50.40%, 52.30%, 19.50%, 105.4, 105.6, -0.62, 13.7, 
Jon Leuer, PHO, 6.86%, 10.15%, 4.23%, 6.01%, 9.58%, 52.60%, 55.50%, 19.80%, 107.1, 106.3, 0.94, 16.1, 
Jordan Hill, IND, 7.21%, 11.83%, 4.80%, 4.56%, 8.69%, 50.60%, 53.40%, 20.20%, 106.5, 102.7, -0.23, 16.4, 
Lance Thomas, NYK, 6.00%, 3.60%, 3.15%, 4.71%, 1.50%, 50.00%, 55.70%, 16.90%, 107.3, 112, -1.77, 10.5, 
Stanley Johnson, DET, 7.18%, 8.17%, 7.03%, 9.20%, 3.81%, 42.70%, 46.00%, 19.60%, 91.5, 105.8, -3.06, 8.7, 
P.J. Tucker, PHO, 7.88%, 13.93%, 10.41%, 16.77%, 6.39%, 46.90%, 50.60%, 12.70%, 105.4, 109, -0.51, 10.8, 
Joffrey Lauvergne, DEN, 5.57%, 7.93%, 3.01%, 2.13%, 3.80%, 53.00%, 56.70%, 19.60%, 111.3, 110.6, 0.06, 15.8, 
Jared Dudley, WAS, 7.48%, 8.34%, 8.48%, 10.58%, 5.59%, 58.10%, 60.20%, 12.70%, 114, 107.5, 0.93, 11.6, 
David Lee, DAL, 4.91%, 8.33%, 4.33%, 3.56%, 8.86%, 53.10%, 56.80%, 21.40%, 111.3, 102.2, 1.62, 19.3, 
James Ennis, NO, 1.89%, 1.20%, 1.16%, 2.53%, 1.46%, , , , , , 2.78, , 
Darrell Arthur, DEN, 6.31%, 8.01%, 5.17%, 8.70%, 12.15%, 49.80%, 51.40%, 16.60%, 104.1, 108, -0.06, 12.5, 
Frank Kaminsky, CHA, 7.34%, 9.66%, 5.74%, 6.71%, 10.64%, 47.40%, 51.30%, 17.10%, 104.6, 104.9, -0.59, 12.4, 
Luke Babbitt, NO, 3.88%, 4.24%, 2.92%, 1.74%, 2.05%, 49.80%, 52.60%, 17.40%, 107.8, 113.3, -0.71, 11.5, 
Marreese Speights, GSW, 5.74%, 6.39%, 2.58%, 2.59%, 7.06%, 45.80%, 50.60%, 29.80%, 101.4, 103.1, -0.47, 17, 
Amir Johnson, BOS, 6.82%, 13.88%, 6.77%, 6.81%, 23.16%, 59.60%, 60.20%, 13.60%, 116.8, 102.1, 1.71, 16, 
JaMychal Green, MEM, 7.16%, 10.85%, 3.97%, 6.47%, 10.38%, 48.00%, 52.00%, 19.80%, 104.7, 107.2, -0.42, 14.6, 
Andre Iguodala, GSW, 5.20%, 7.04%, 9.73%, 10.63%, 4.01%, 55.20%, 56.50%, 12.10%, 114.5, 105, 1.32, 12.1, 
Brandon Bass, LAL, 5.92%, 8.11%, 4.95%, 5.61%, 15.96%, 54.90%, 61.90%, 13.90%, 127, 110.8, 2.20, 17.4, 
Mike Dunleavy, CHI, 2.66%, 2.19%, 2.09%, 2.83%, 2.13%, 51.30%, 54.30%, 14.60%, 103.5, 113.3, -1.30, 9, 
Willie Cauley-Stein, SAC, 5.36%, 9.71%, 1.86%, 6.61%, 17.96%, 56.30%, 58.80%, 13.20%, 119.1, 107.7, 1.81, 15.2, 
David West, SA, 6.47%, 8.68%, 7.07%, 6.80%, 10.86%, 54.80%, 57.30%, 18.00%, 113.6, 98, 2.24, 17.5, 
Corey Brewer, HOU, 6.66%, 5.47%, 6.12%, 9.73%, 4.67%, 43.90%, 48.10%, 17.80%, 98.2, 109.4, -1.20, 9.9, 
Bobby Portis, CHI, 5.23%, 8.88%, 2.78%, 5.05%, 4.68%, 44.50%, 46.90%, 20.70%, 100.1, 108.3, -1.81, 13.9, 
Patrick Patterson, TOR, 6.70%, 9.54%, 6.33%, 8.21%, 7.61%, 52.10%, 53.40%, 12.90%, 108, 107.2, -0.98, 10.6, 
Brandan Wright, MEM, 0.98%, 1.20%, 0.34%, 0.66%, 4.10%, , , , , , 2.47, , 
Moe Harkless, POR, 6.37%, 7.97%, 3.83%, 8.97%, 9.60%, , , , , , -0.12, , 
Andrew Nicholson, ORL, 4.59%, 5.66%, 1.29%, 1.48%, 5.28%, 53.70%, 56.70%, 20.50%, 106, 107, -0.05, 14.8, 
Clint Capela, HOU, 5.98%, 13.64%, 2.56%, 7.18%, 20.89%, 58.20%, 55.30%, 16.10%, 114, 103.8, 2.52, 18.2, 
Wesley Johnson, LAC, 6.17%, 7.14%, 2.58%, 11.84%, 12.30%, 50.40%, 51.30%, 16.00%, 97.7, 102.1, 0.54, 11, 
Donatas Motiejunas, HOU, 2.98%, 3.56%, 2.41%, 2.43%, 1.56%, 47.80%, 50.40%, 21.30%, 97.9, 109.2, -2.45, 11.1, 
Kris Humphries, ATL, 3.93%, 6.00%, 1.67%, 2.16%, 4.49%, 46.80%, 51.70%, 19.50%, 103, 103.5, -0.46, 12.9, 
Justise Winslow, MIA, 6.24%, 11.21%, 6.66%, 12.59%, 4.90%, 45.70%, 48.90%, 12.40%, 96.9, 105.4, -1.83, 8.3, 
Mike Scott, ATL, 5.79%, 6.21%, 3.62%, 3.55%, 3.55%, 55.10%, 57.50%, 17.30%, 112.1, 104, 0.89, 13.9, 
Ed Davis, POR, 6.09%, 16.12%, 5.17%, 9.64%, 17.93%, 61.10%, 61.60%, 12.70%, 128.1, 104, 2.86, 18.7, 
Boris Diaw, SA, 5.72%, 6.40%, 9.04%, 3.74%, 4.49%, 56.00%, 58.20%, 16.90%, 108.6, 101.7, -0.38, 13.8, 
Thabo Sefolosha, ATL, 5.57%, 9.59%, 5.25%, 11.42%, 7.48%, 56.20%, 57.80%, 12.30%, 107.8, 100.1, 1.31, 12.4, 
Aron Baynes, DET, 5.95%, 10.02%, 3.18%, 3.58%, 16.51%, 50.50%, 56.30%, 18.50%, 114.4, 103.8, 0.35, 17.7, 
