Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Zach LaVine, MIN, 13.69%, 6.72%, 13.15%, 10.52%, 4.53%, 51.60%, 54.80%, 23.50%, 104, 112.7, -0.16, 14.2, 
Darren Collison, SAC, 11.99%, 4.71%, 16.01%, 10.47%, 1.10%, 54.20%, 59.10%, 19.20%, 115.3, 112.7, 1.73, 15.8, 
Devin Booker, PHO, 12.67%, 5.09%, 11.76%, 6.96%, 6.39%, 48.00%, 53.50%, 23.00%, 102.2, 113.3, -1.82, 11.9, 
Deron Williams, DAL, 10.53%, 5.20%, 20.15%, 10.51%, 4.43%, 47.70%, 53.00%, 22.10%, 105.2, 109.3, -0.28, 14.5, 
Monta Ellis, IND, 13.43%, 7.74%, 22.20%, 20.79%, 8.92%, 47.00%, 50.40%, 21.20%, 99, 103.6, -0.01, 13.7, 
D’Angelo Russell, LAL, 13.25%, 7.68%, 18.16%, 15.82%, 3.92%, 47.80%, 50.70%, 24.10%, 95.8, 112.3, -1.54, 13.1, 
Alec Burks, UTA, 4.98%, 2.94%, 3.98%, 2.56%, 0.97%, 45.80%, 52.00%, 25.70%, 103.8, 108.8, -1.65, 14.4, 
Jarrett Jack, BKN, 5.08%, 3.88%, 12.90%, 5.42%, 2.11%, 43.40%, 50.50%, 21.50%, 101.3, 108.2, -0.46, 14.5, 
Emmanuel Mudiay, DEN, 10.44%, 6.34%, 20.02%, 10.67%, 8.86%, 40.40%, 43.70%, 25.60%, 87.6, 110.1, -4.12, 9.8, 
Arron Afflalo, NYK, 11.27%, 7.31%, 8.62%, 5.35%, 2.15%, 50.00%, 53.10%, 18.00%, 104.9, 112.2, -1.76, 11, 
Ish Smith, PHI, 12.17%, 9.02%, 28.44%, 12.94%, 4.85%, 44.00%, 46.50%, 23.90%, 97.7, 111.2, -0.49, 14.7, 
Wesley Matthews, DAL, 11.76%, 6.90%, 8.19%, 14.24%, 5.38%, 49.80%, 53.20%, 17.30%, 105.2, 109.5, -0.65, 10.9, 
J.R. Smith, CLE, 11.25%, 6.16%, 7.08%, 14.66%, 6.42%, 53.50%, 54.20%, 18.00%, 110.4, 107, 0.52, 12.4, 
Gary Harris, DEN, 11.15%, 6.01%, 7.91%, 15.93%, 4.56%, 53.80%, 56.60%, 16.50%, 110.1, 111.7, 0.37, 12.8, 
George Hill, IND, 11.05%, 8.20%, 14.82%, 11.28%, 4.23%, 52.70%, 55.50%, 15.90%, 111.7, 106.1, 0.67, 13.2, 
Joe Johnson, MIA, 12.14%, 8.28%, 18.59%, 11.03%, 0.87%, 50.90%, 53.80%, 17.90%, 104.8, 112.4, -1.31, 12, 
