Player, Pos, Team, Salary, GP, FPPG, FPMAX, Floor, Ceil, %2x, %3x, %4x, %5x, %6x
Jeff Ayres, PF, LAC, 3500.00, 7, 4.05, 8.3, 1.9, 6.2, 14.29, 0.0, 0.0, 0.0, 0.0 
Glenn Robinson, SF, IND, 3500.00, 1, -1, -1, -1, -1, 0.0, 0.0, 0.0, 0.0, 0.0 
Mitch McGary, PF, OKC, 3500.00, 1, 5.2, 5.2, 5.2, 5.2, 0.0, 0.0, 0.0, 0.0, 0.0 
C.J. Wilcox, SG, LAC, 3500.00, 5, 5.2, 8.5, 3.14, 7.26, 20.0, 0.0, 0.0, 0.0, 0.0 
Jordan Clarkson, SG, LAL, 5600.00, 9, 22.96, 36.7, 14.03, 31.88, 88.89, 66.67, 55.56, 44.44, 11.11 
Julius Randle, PF, LAL, 6600.00, 9, 29.22, 49.6, 15.08, 43.36, 77.78, 77.78, 66.67, 55.56, 22.22 
Langston Galloway, SG, NYK, 4000.00, 10, 19.17, 36.7, 10.22, 28.12, 90.0, 70.0, 50.0, 50.0, 40.0 
Tim Frazier, PG, NOP, 5000.00, 11, 28.23, 46.9, 19.44, 37.02, 100.0, 100.0, 72.73, 63.64, 45.45 
Jarell Eddie, SG, WAS, 3500.00, 1, 2, 2, 2, 2, 0.0, 0.0, 0.0, 0.0, 0.0 
Jordan McRae, SG, CLE, 3500.00, 6, 4.28, 5.6, 3.21, 5.34, 0.0, 0.0, 0.0, 0.0, 0.0 
Sean Kilpatrick, SG, BKN, 3700.00, 10, 17.29, 30.9, 11.59, 22.99, 100.0, 90.0, 70.0, 20.0, 20.0 
Josh Smith, PF, HOU, 3500.00, 1, 4, 4, 4, 4, 0.0, 0.0, 0.0, 0.0, 0.0 
Jordan Mickey, PF, BOS, 3500.00, 2, 4.4, 6.8, 2, 6.8, 0.0, 0.0, 0.0, 0.0, 0.0 
Terry Rozier, PG, BOS, 3600.00, 8, 9.74, 20.9, 3.76, 15.71, 50.0, 25.0, 25.0, 25.0, 0.0 
R.J. Hunter, SG, BOS, 3500.00, 2, 6.5, 6.5, 6.5, 6.5, 0.0, 0.0, 0.0, 0.0, 0.0 
Chris McCullough, PF, BKN, 3800.00, 8, 12.38, 20.7, 7.87, 16.88, 87.5, 50.0, 25.0, 12.5, 0.0 
Rondae Hollis-Jefferson, SF, BKN, 3800.00, 6, 14.25, 27.4, 7.85, 20.65, 83.33, 66.67, 33.33, 16.67, 16.67 
Kristaps Porzingis, PF, NYK, 6900.00, 7, 31.56, 40, 23.54, 39.58, 100.0, 85.71, 71.43, 42.86, 0.0 
Jerian Grant, PG, NYK, 3600.00, 10, 11.52, 23.6, 3.05, 19.99, 60.0, 50.0, 50.0, 40.0, 10.0 
Stanley Johnson, SF, DET, 3500.00, 10, 12.04, 35.4, 2.73, 21.35, 80.0, 30.0, 20.0, 20.0, 20.0 
Darrun Hilliard, SG, DET, 3500.00, 4, 12.67, 23.7, 3.48, 21.86, 50.0, 50.0, 25.0, 25.0, 25.0 
Myles Turner, PF, IND, 5400.00, 10, 22.99, 47.7, 13.18, 32.8, 90.0, 80.0, 50.0, 10.0, 10.0 
Joseph Young, SG, IND, 3500.00, 2, 0.95, 2.9, -1, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0 
Frank Kaminsky, PF, CHA, 3500.00, 10, 12.36, 26.9, 5.76, 18.96, 80.0, 50.0, 40.0, 20.0, 10.0 
Mario Hezonja, SF, ORL, 3500.00, 10, 11.47, 22.1, 6.4, 16.54, 80.0, 60.0, 30.0, 10.0, 10.0 
Kelly Oubre, SF, WAS, 3500.00, 5, 4.83, 7.2, 3.04, 6.61, 20.0, 0.0, 0.0, 0.0, 0.0 
Justin Anderson, SF, DAL, 4000.00, 9, 17.15, 26.5, 8.5, 25.8, 66.67, 66.67, 55.56, 44.44, 22.22 
Pat Connaughton, SG, POR, 3500.00, 3, 0.1, 1.2, -1, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0 
Cameron Payne, PG, OKC, 3500.00, 8, 6.19, 9.7, 3.62, 8.75, 50.0, 0.0, 0.0, 0.0, 0.0 
Larry Nance, PF, LAL, 3700.00, 6, 16.78, 26.9, 11.62, 21.95, 100.0, 100.0, 66.67, 33.33, 16.67 
D'Angelo Russell, PG, LAL, 5400.00, 9, 17.42, 32.6, 8.37, 26.47, 77.78, 55.56, 44.44, 11.11, 11.11 
Cliff Alexander, PF, POR, 3500.00, 1, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0 
Sasha Kaun, C, CLE, 3500.00, 3, 5.45, 9.9, 1, 9.9, 33.33, 0.0, 0.0, 0.0, 0.0 
Salah Mejri, C, DAL, 4100.00, 7, 20.18, 43.3, 7.37, 33, 71.43, 42.86, 42.86, 28.57, 28.57 
Luis Montero, SF, POR, 3500.00, 3, 0.6, 2.2, -1, 2.2, 0.0, 0.0, 0.0, 0.0, 0.0 
Josh Huestis, SF, OKC, 3500.00, 2, 5.1, 8.2, 2, 8.2, 50.0, 0.0, 0.0, 0.0, 0.0 
Marcelo Huertas, PG, LAL, 3500.00, 9, 13.49, 24.6, 8.42, 18.56, 100.0, 66.67, 33.33, 22.22, 11.11 
