Player, Pos, Team, Salary, GP, FPPG, FPMAX, Floor, Ceil, %2x, %3x, %4x, %5x, %6x
Donald Sloan, PG, BKN, 3600.00, 9, 14.66, 23.5, 7.33, 21.98, 77.78, 66.67, 55.56, 55.56, 11.11 
Alan Anderson, SG, WAS, 3500.00, 1, 7.1, 7.1, 7.1, 7.1, 100.0, 0.0, 0.0, 0.0, 0.0 
Dion Waiters, SG, OKC, 3500.00, 10, 17.15, 34.7, 5.66, 28.64, 70.0, 70.0, 50.0, 40.0, 40.0 
Bradley Beal, SG, WAS, 5800.00, 9, 25.94, 38.3, 18.15, 33.74, 88.89, 77.78, 77.78, 44.44, 11.11 
Thomas Robinson, PF, BKN, 6000.00, 7, 22.74, 41.1, 10.14, 35.34, 71.43, 57.14, 57.14, 28.57, 28.57 
Damian Lillard, PG, POR, 8000.00, 11, 35.05, 49.6, 26.1, 44.01, 100.0, 81.82, 63.64, 27.27, 9.09 
Austin Rivers, PG, LAC, 3900.00, 10, 19.74, 46.3, 9.48, 30, 100.0, 80.0, 60.0, 40.0, 40.0 
Andre Drummond, C, DET, 8000.00, 10, 36.19, 51.3, 29.1, 43.28, 100.0, 100.0, 80.0, 30.0, 10.0 
Tyler Zeller, C, BOS, 3500.00, 5, 8.88, 12.8, 5.61, 12.15, 60.0, 60.0, 0.0, 0.0, 0.0 
Evan Fournier, SF, ORL, 5400.00, 10, 22.8, 29.4, 18.1, 27.5, 100.0, 90.0, 50.0, 30.0, 0.0 
Andrew Nicholson, PF, ORL, 4300.00, 9, 22.16, 29.6, 15.15, 29.16, 88.89, 88.89, 88.89, 66.67, 22.22 
Nazr Mohammed, C, OKC, 3500.00, 2, 2.7, 3.4, 2, 3.4, 0.0, 0.0, 0.0, 0.0, 0.0 
Robert Sacre, C, LAL, 3500.00, 2, 9.2, 9.8, 8.6, 9.8, 100.0, 0.0, 0.0, 0.0, 0.0 
Kyle O'Quinn, C, NYK, 3500.00, 6, 10.62, 17.5, 5.39, 15.85, 66.67, 50.0, 33.33, 16.67, 0.0 
Jae Crowder, SF, BOS, 6200.00, 2, 36.5, 42, 31, 42, 100.0, 100.0, 100.0, 100.0, 50.0 
Jeremy Lamb, SG, CHA, 3500.00, 8, 14.6, 24.5, 7.34, 21.86, 75.0, 50.0, 37.5, 37.5, 37.5 
Brian Roberts, PG, POR, 3500.00, 8, 3.13, 9.2, 0.23, 6.02, 12.5, 0.0, 0.0, 0.0, 0.0 
Metta World Peace, SF, LAL, 3500.00, 6, 13.05, 29.5, 4.93, 21.17, 66.67, 66.67, 33.33, 16.67, 16.67 
Pablo Prigioni, PG, LAC, 3500.00, 9, 9.56, 15.5, 4.83, 14.3, 55.56, 44.44, 22.22, 0.0, 0.0 
Luc Richard Mbah a Moute, SF, LAC, 3500.00, 10, 7.72, 15.7, 3.41, 12.03, 40.0, 30.0, 20.0, 0.0, 0.0 
Garrett Temple, SG, WAS, 3500.00, 10, 11.73, 23.5, 5.22, 18.25, 60.0, 40.0, 30.0, 20.0, 10.0 
